DATE,NUMBER OF ELECTRIC VEHICLES,VEHICLE MODEL YEAR,VEHICLE MAKE,LOCATION,VEHICLE MODEL
2022/01/01,1,2019,KIA,KENTVILLE,
2022/01/01,1,2019,KIA,HALIFAX COUNTY,
2022/01/01,1,2019,MERCEDES BENZ,AMHERST,
2022/01/01,12,2019,NISSAN,HALIFAX COUNTY,
2022/01/01,1,2019,NISSAN,OUT OF PROVINCE,
2022/01/01,1,2019,NISSAN,HANTS COUNTY,
2022/01/01,1,2019,NISSAN,KINGS COUNTY,
2022/01/01,44,2019,TESLA,HALIFAX COUNTY,
2022/01/01,4,2019,TESLA,LUNENBURG COUNTY,
2022/01/01,2,2019,TESLA,HANTS COUNTY,
2022/01/01,1,2019,TESLA,KINGS COUNTY,
2022/01/01,2,2019,TESLA,ANTIGONISH COUNTY,
2022/01/01,1,2019,TESLA,CUMBERLAND COUNTY,
2022/01/01,3,2019,TESLA,CAPE BRETON COUNTY,
2022/01/01,1,2019,TESLA,DIGBY COUNTY,
2022/01/01,1,2019,TESLA,SHELBURNE,
2022/01/01,1,2019,TESLA,STELLARTON,
2022/01/01,1,2019,TESLA,ANNAPOLIS COUNTY,
2022/01/01,1,2019,TOYOTA,ANTIGONISH,
2022/01/01,1,2019,TOYOTA,OUT OF PROVINCE,
2022/01/01,1,2019,TOYOTA,DIGBY,
2022/01/01,1,2019,VOLKSWAGEN,HANTS COUNTY,
2022/01/01,2,2020,AUDI,HALIFAX COUNTY,
2022/01/01,25,2020,CHEVROLET,HALIFAX COUNTY,
2022/01/01,5,2020,CHEVROLET,KINGS COUNTY,
2022/01/01,2,2020,CHEVROLET,OUT OF PROVINCE,
2022/01/01,1,2020,CHEVROLET,INVERNESS COUNTY,
2022/01/01,1,2020,CHEVROLET,HANTS COUNTY,
2022/01/01,2,2020,CHEVROLET,ANNAPOLIS COUNTY,
2022/01/01,1,2020,CHEVROLET,COLCHESTER COUNTY,
2022/01/01,1,2020,FORD,CUMBERLAND COUNTY,
2022/01/01,1,2020,FORD,YARMOUTH COUNTY,
2022/01/01,2,2020,HARLEY DAVIDSON,HALIFAX COUNTY,
2022/01/01,3,2020,HYUNDAI,COLCHESTER COUNTY,
2022/01/01,20,2020,HYUNDAI,HALIFAX COUNTY,
2022/01/01,3,2020,HYUNDAI,HANTS COUNTY,
2022/01/01,3,2020,HYUNDAI,CAPE BRETON COUNTY,
2022/01/01,1,2020,HYUNDAI,PICTOU COUNTY,
2022/01/01,1,2020,HYUNDAI,KINGS COUNTY,
